factor_id,display_name,tier,mechanism,source,family,difficulty,priority,batch,status,validation_level,delivery_report,pack_or_artifacts,counts_toward_library,notes
TGD20,Temporal Gradient Density,A,intraday upside/downside timing residual,paper,temporal,done,0,1_existing,delivered,pack_v1,research_delivery/factors/TGD20/report.md,research/reports/factors/TGD20,yes,validated Pack v1
D1_LiquidityQuality60d,D1 Liquidity Quality 60d,A,low-vol × liquidity stability,internal,liquidity_mechanism,done,0,1_existing,delivered,pack_v1,research_delivery/factors/D1_LiquidityQuality60d/report.md,research/reports/factors/D1_LiquidityQuality60d,yes,candidate Pack v1
FlowDensity20,Flow Density 20d,A,net active flow density / mktcap,paper/internal,order_flow,done,0,1_existing,delivered,pack_v1,research_delivery/factors/FlowDensity20/report.md,research/reports/factors/FlowDensity20,yes,candidate Pack v1
APM_SessionResidual,APM Session Residual,A,overnight vs PM residual α,paper_adapted,session_timing,done,0,1_existing,delivered,pack_v1,research_delivery/factors/APM_SessionResidual/report.md,research/reports/factors/APM_SessionResidual,yes,testing_candidate Pack; ≠ ActiveTradeProxy
IdealReversal,Ideal Reversal,A,ATS-cut reversal decomposition,paper,behavior_decomp,done,0,1_existing,delivered,pack_v1,research_delivery/factors/IdealReversal/report.md,research/reports/factors/IdealReversal,yes_soft,testing; weak mono
IdealAmplitude,Ideal Amplitude,A,close-state amplitude cut,paper,behavior_decomp,done,0,1_existing,delivered,pack_v1,research_delivery/factors/IdealAmplitude/report.md,research/reports/factors/IdealAmplitude,yes_soft,testing; very weak mono
AmihudShockReversal5d,Amihud Shock Reversal 5d,A,temporary liquidity stress × short reversal (≠ plain Amihud),research_internal,liquidity_shock,done,1,2_research,testing_candidate,confirmation_basic,research_delivery/factors/AmihudShockReversal5d/report.md,"factor_formulas_eod_engine.py::amihud_shock_reversal_5d; research/reports/d1_liquidity_density_v1/confirmation_1455d/amihud_shock_reversal_5d/",yes,"independent vs D1 (corr~0.016; IC after D1~1.7%); HL TO high (~2.55) — investability open"
LiquidityResidual20d,Liquidity Amount Residual 20d,A,unexpected liquidity after size adjustment,research_internal,liquidity_mechanism,medium,2,2_research,planned,implemented,,factor_formulas / confirmation_1455d/liquidity_amount_residual_20d,yes,Batch2 #2; ≠ D1 stability mechanism
ActiveTradingImbalance,Active Trading Imbalance,A,informed trading pressure (large/active flow — ≠ raw turnover),paper_cutting,informed_trading,medium,3,2_research,planned,identity,,,yes,Batch2 #3; must not collapse to plain OBI; ≠ APM id
PathMomentum20,Path Momentum / Return Concentration,A,return-path shape / persistence (≠ Momentum20),research_design,path_structure,medium,4,2_research,planned,none,,,yes,Batch2-B; formula freeze required
VolatilityRegimeAlpha,Volatility Regime / Compression Alpha,A,vol state transition / compression (≠ Vol20),research_internal,vol_regime,medium,5,2_research,planned,implemented,,factor_formulas_eod_engine.py::volatility_regime_change_20d,yes,Batch2-B; freeze single id before card
OvernightDominance,Overnight Dominance,A,overnight info share of total move (A-share),research_design,overnight_info,medium,6,2_research,planned,none,,,yes,Batch2-B
SUE_ConsensusEPS,SUE Consensus EPS,A,earnings surprise PIT,paper,fundamental_surprise,hard,1,3_fundamental,planned,identity,,docs/milestone_c2_sue_*; research/cache/sue_consensus_eps,yes,Batch3
EarningsRevisionMomentum,Earnings Revision Momentum,A,analyst revision momentum (specific — ≠ bare EPS revision),paper,fundamental_revision,hard,2,3_fundamental,planned,none,,,yes,Batch3
QualityResidual,Quality Residual,A,quality after size/value adjustment,research_design,quality,medium,3,3_fundamental,planned,none,,,yes,Batch3; not raw ROE
GrossProfitability,Gross Profitability,A,gross profitability premium,paper,quality,medium,4,3_fundamental,planned,none,,,yes,Batch3
EarningsSurpriseConsistency,Earnings Surprise Consistency,A,consistency of surprises across events,paper,fundamental_quality,hard,5,3_fundamental,planned,none,,,yes,Batch3; more specific than generic EQ
ValueResidual,Value Residual,A,value ⊥ size/industry residual,research_design,value,medium,6,3_fundamental,planned,none,,,yes,Batch3; not raw EP/BP checklist
L2_CancelShock,L2 Cancel Shock,B,order cancel shock,research_internal,l2_micro,hard,1,4_l2_advanced,planned,implemented,,cn_cancel_shock / tier_a lineage,no,promote only after independence check
L2_AdvancedFlowTiming,L2 Advanced Flow Timing,B,flow timing beyond FlowDensity20,research_design,l2_flow,hard,2,4_l2_advanced,planned,none,,,no,Batch4 fill
SKEW,Skewness Anomaly (SKEW/IdioSKEW),A-,lottery / higher-moment skewness (≠ plain vol),paper_cluster,higher_moment,medium,1,2_research,research_candidate,validation_v1,research_delivery/factors/SKEW/report.md,"core/factors/skew/; run_skew_validation_v1.py; research/reports/factors/SKEW",yes,"P0: SKEW20+IdioSKEW60; Alpha=-raw; TGD interaction; minute RSKEW deferred"
SmartMoney10d,Smart Money 10d,B,microstructure efficiency knife,paper,microstructure,done_research,0,1_existing,parked,parked_research,research_delivery/factors/SmartMoney10d/report.md,research/reports/smart_money_v1,no,IC strong / execution weak — Tier B research card
