factor_id,family,factor_type,display_name,source_formula,implemented_formula,required_fields,data_frequency,pit_timestamp_field,lookback,default_orientation,orientation_method,neutralization,coverage,cross_sectional_unique_count,test_status,unavailable_reason,notes
ret,price_volume,atomic,Daily return,close/pre_close - 1,close/pre_close - 1,S_DQ_CLOSE|S_DQ_PRECLOSE,daily,TRADE_DT,1,,calibration_30pct,industry+log_market_cap,1.0,937.0,FAIL_MULTIPLE,,Executable source formula
log_vol,price_volume,atomic,Log volume,log(volume + 1),log(max(volume;0) + 1),S_DQ_VOLUME,daily,TRADE_DT,1,,calibration_30pct,industry+log_market_cap,1.0,978.0,FAIL_MONOTONICITY,,Wind volume unit does not affect cross-sectional rank
amplitude,price_volume,atomic,Amplitude,(high-low)/pre_close,(high-low)/pre_close,S_DQ_HIGH|S_DQ_LOW|S_DQ_PRECLOSE,daily,TRADE_DT,1,-1.0,economic,industry+log_market_cap,1.0,969.0,PASS,,Lower amplitude orientation frozen before returns
turnover,price_volume,atomic,Turnover,turnover,S_DQ_TURN,ASHAREEODDERIVATIVEINDICATOR.S_DQ_TURN,daily,TRADE_DT,1,,calibration_30pct,industry+log_market_cap,1.0,961.0,PASS,,TRADE_DT economic date; earliest duplicate retained; final-vendor-snapshot limitation disclosed
gap,price_volume,atomic,Opening gap,open/pre_close - 1,open/pre_close - 1,S_DQ_OPEN|S_DQ_PRECLOSE,daily,TRADE_DT,1,,calibration_30pct,industry+log_market_cap,1.0,806.0,FAIL_MULTIPLE,,Executable source formula
dist_limit_up,price_volume,atomic,Distance to limit up,(limit_up-close)/close,(S_DQ_LIMIT-S_DQ_CLOSE)/S_DQ_CLOSE,S_DQ_LIMIT|S_DQ_CLOSE,daily,TRADE_DT,1,,calibration_30pct,industry+log_market_cap,1.0,970.0,FAIL_MONOTONICITY,,No synthetic board-specific limit calculation
dist_limit_down,price_volume,atomic,Distance to limit down,(close-limit_down)/close,(S_DQ_CLOSE-S_DQ_STOPPING)/S_DQ_CLOSE,S_DQ_STOPPING|S_DQ_CLOSE,daily,TRADE_DT,1,,calibration_30pct,industry+log_market_cap,1.0,968.0,FAIL_MULTIPLE,,No synthetic board-specific limit calculation
excess_ret,price_volume,atomic,Index excess return,ret-index_ret,stock c2c return minus CSI1000 c2c return,S_DQ_CLOSE|S_DQ_PRECLOSE|AINDEXEODPRICES,daily,TRADE_DT,1,1.0,economic,industry+log_market_cap,1.0,937.0,FAIL_MULTIPLE,,Benchmark frozen to main universe index
mom_5d,price_volume,atomic,5-day momentum,close/close_lag5 - 1,close/close.shift(5) - 1,S_DQ_CLOSE,daily,TRADE_DT,5,1.0,economic,industry+log_market_cap,1.0,960.0,FAIL_MULTIPLE,,No alternate window
mom_20d,price_volume,atomic,20-day momentum,close/close_lag20 - 1,close/close.shift(20) - 1,S_DQ_CLOSE,daily,TRADE_DT,20,1.0,economic,industry+log_market_cap,1.0,970.0,FAIL_MULTIPLE,,Smoke-test factor; no alternate window
volatility_20d,price_volume,atomic,20-day volatility,"std(ret,20)",rolling std(ret; window=20; min_periods=5; ddof=1),S_DQ_CLOSE|S_DQ_PRECLOSE,daily,TRADE_DT,20,-1.0,economic,industry+log_market_cap,1.0,978.0,PASS,,Executable code overrides data-guide population-std wording
macd,price_volume,atomic,Normalized MACD,EMA12(close)-EMA26(close),(EMA12(close)-EMA26(close))/close,S_DQ_CLOSE,daily,TRADE_DT,26,1.0,economic,industry+log_market_cap,1.0,978.0,FAIL_MULTIPLE,,Executable code overrides unnormalized documentation
rsi,price_volume,atomic,14-day RSI,100-100/(1+RS),14-day simple means of positive and negative daily returns; zero loss maps to 50,S_DQ_CLOSE|S_DQ_PRECLOSE,daily,TRADE_DT,14,1.0,economic,industry+log_market_cap,1.0,978.0,FAIL_MULTIPLE,,Matches executable source including zero-loss convention
